,Title,Lyrics
10,Astronomy ,"The clock strikes twelve and moondrops burst
 Out at you from their hiding place
 Like acid and oil on a madman's face
 Reason tends to fly away
 Like lesser birds on the four winds
 Like silver scrapes in May
 Now the sands become a crust
 And most of you have gone away
 Yeah, gone away

 Ah, come Susie dear, let's take a walk
 Just out there upon the beach
 I know you'll soon be married
 And you'll want to know where wind comes from
 Well it's never said at all
 On the map that Carrie reads
 Behind the clock back there you know
 At the Four Winds Bar
 Mmm yeah

 Yeah
 Hey!
 Hey!
 Hey!
 Hey!

 Four winds at the Four Winds Bar
 Two doors locked and windows barred
 One door's left to take you in
 The other one just mirrors it

 Hey!
 Hey!
 Yeah, hey!
 Yeah, hey!

 In hellish glare and inference
 The other one's a duplicate
 The queenly flux, eternal light
 Or the light that never warms
 Yes the light that never, never warms
 Yes the light that never, never warms, never warms, never warms

 The clock strikes twelve and moondrops burst
 Out at you from their hiding place
 Miss Carrie Nurse and Susie dear
 Would find themselves at Four Winds Bar

 It's the nexus of the crisis
 And the origin of storms
 Just the place to hopelessly
 Encounter time and then came me

 Hey!
 Hey!
 Hey!
 Hey!

 Call me Desdinova
 Eternal light
 These gravely digs of mine
 Will surely prove a sight
 And don't forget my dog
 Fixed and consequent

 Astronomy - a star
 Astronomy - a star
 Astronomy - a star
 Astronomy - a star"
11,"Atlas, Rise! ","Bitterness and burden
Curses rest on thee
Solitaire and sorrow
All Eternity

Save the Earth and claim perfection
Deem the mass and blame rejection
Hold the pose, reign perception
Grudges break your back

All you bear
All you carry
All you bear
Place it right on, right on me

Die as you suffer in vain
Own all the grief and the pain
Die as you hold up the skies
Atlas, Rise!

How does it feel on your own?
Bound by the world all alone
Crushed under heavy skies
Atlas, Rise!

Crucify and witness
Circling the sun
Bastardize and ruin
What have you become?

Blame the world, and blame your maker
Wish ‘em to the undertaker
Crown yourself the other savior
So you carry on

All you bear
All you carry
All you bear
Place it right on me, right on me

Die as you suffer in vain
Own all the grief and the pain
Die as you hold up the skies
Atlas, Rise!

How does it feel on your own?
Bound by the world all alone
Crushed under heavy skies
Crushed under heavy skies
Atlas, Rise!

Masquerade as maker
Heavy is the crown
Beaten down and broken
Drama wears you down

Overload, the martyr stumbles
Hit the ground and heaven crumbles
All alone, the fear shall humble
Swallow all your pride

All you bear
All you carry
All you bear
Place it right on, right on me

Die as you suffer in vain
Own all the grief and the pain
Die as you hold up the skies
Atlas, Rise!

How does it feel on your own?
Bound by the world all alone
Crushed under heavy skies
Crushed under heavy skies
Atlas, Rise!"
12,Attitude ,"Suppose I say 
I'm never satisfied 
Suppose I say 
You cut some root 
To make the tree survive 


Just let me kill you for a while 
Just let me kill you for a smile 
Just let me kill you once 
I'm oh so bored to death 


Ohhhh, I hunger 
I hunger 
I eat 

Born Into Attitude 
Asleep at the wheel 
Throw all your bullets in the fire 
And run like hell 
Why cure the fever? 
What ever happened to sweat? 

Suppose I say 
the vultures smile at me 
Suppose I say 
I've sent them down 
They plan to pick you clean 


And satifaction this way comes 
And satifaction this way comes 
And satifaction's here and gone, gone 
Yeah gone again 


Oooh, I hunger 
Ooh I hunger 
I eat 

Born Into Attitude 
Asleep at the wheel 
Throw all your bullets in the fire 
And stand there 

Born Into Attitude 
Twist mother tongue 
Throw all your bullets in the fire 
And run like hell 
Why cure the fever? 
What ever happened to sweat? 

[Solo ]


Just let me kill you for a while 
Just let me kill you for a smile 
Just let me kill you once for me 
I'm bored to death 


And satifaction this way comes 
And satifaction this way comes 
And satifaction's here and gone, gone
gone again 


Yeah I hunger 
Oooh I hunger 
I eat 

Born Into Attitude 
Asleep at the wheel 
Throw all your bullets in the fire 
And stand there 

Born Into Attitude 
Twist mother tongue 
Throwing all your bullets in the fire 
And run like hell 
Why cure the fever? 
What ever happened to sweat?"
13,Bad Seed ,"Yeah, yeah
Yeah, yeah
Oooh
Bad!

Yeah
Yeah, yeah

Come clean
'Fess up
Tell all
Spill gut

Off the veil
Stand revealed
Show the cards
Bring it on
Break the seal

Ladies and gentleman
Step right up and see the man
Who told the truth

Swing the noose again
Pierce the apple skin
You bit more than you need
Now you're choking on the bad seed
On the bad seed
Ah, choking

Yeah

Let it on
Load off
Confess
Cast off

At the mercy
The cat is out
Drop the disguise
Spit it up
Spit it out

And now what you've all been waiting for
I give you 
He Who Suffers the Truth

Swing the noose again
Pierce the apple skin
Yeah, you bit more than you need
Now you're ch-choking on the bad seed
Choking on the bad seed
Yeah

Off the veil
Stand revealed
Bring it on
Break the seal
At the mercy
Cat is out
Spit it up
Spit it out
Spit it up
Spit it out
Spit it out now

At the mercy

Swing the noose again
Pierce the apple skin
Bit more than you need
Choking on the seed

Swing the noose again
Pierce the apple skin
Yeah, you bit more than you need
Now you're ch-choking on the
Ch-ch-choking, choking, choking on the bad seed
Yeah

Off the veil
Stand revealed
Bring it on
Break the seal
At the mercy
Cat is out
Spit it up
Spit it out
Spit it out
Spit it out 
Spit it out now
Yeah-yeah

Ch-choking on the bad, bad, bad, bad, bad, bad seed"
14,Battery ,"Lashing out the action
Returning of reaction
Weak are ripped and torn away
Hypnotizing power
Crushing all that cower
Battery is here to stay

Smashing through the boundaries 
Lunacy has found me
Cannot stop the battery

Pounding out aggression
Turns into obsession
Cannot kill the battery

Cannot kill the family
Battery is found in me
Battery
Battery

Crushing all deceivers
Smashing non-believers
Never ending potency
Hungry violence seeker
Feeding off the weaker
Breeding on insanity

Smashing through the boundaries
Lunacy has found me
Cannot stop the battery

Pounding out aggression 
Turns into obsession 
Cannot kill the battery

Cannot kill the family 
Battery is found in me
Battery
Battery

Circle of destruction
Hammer comes crushing
Powerhouse of energy
Whipping up a fury
Dominating flurry
We create the battery

Smashing through the boundaries
Lunacy has found me
Cannot stop the battery

Pounding out aggression
Turns into obsession
Cannot kill the battery

Cannot kill the family
Battery is found in me
Battery
Battery
Battery
Battery"
15,Better Than You ,"I look at you, then you me
Hungry and thirsty are we
Holding the lion's share
Holding the key
Holding me back 'cause I'm striving to be

Better than you (Better than you)
Better than you (Better than you)

Lock horns, I push and I strive
Somehow I feel more alive
Bury the need for it
Bury the seed
Bury me deep when there's no will to be

Better than you (Better than you)
Oh, better than you (Better than you)

Oh! Can't stop this train from rolling
Oh! Yo! Nothing brings me down
No! Can't stop this train from rolling
On and on, on
No! No! Forever on and on

Oh! Can't stop this train from rolling
Oh! Yo! You can't take it down
No! Never stop this locomotion
On and on and on
No! No! You can't bring me down 'cause I'm

Better than you (Better than you)
Better than you (Better than you)
Oh, better than you (Better than you) 
Better than you (Better than you) 
Much better than you 

Better than you (Better than you)
Oh, better than you (Better than you)
Better than you (Better than you)
Better than
Better than
Better than
Better than you, yeah

Can't stop this train from rolling
Forever on and on and on and on and on
Forever on and on, on

Better than you, yeah
Haha

Better than you!"
16,Black Squirrel ,"You rise
You fall
You crash, then you're up again
What don’t kill ya make ya more strong
Rise, fall, crash, rise again
What don’t kill ya make ya more strong.
Rise, fall, crash, rise again
What don’t kill ya make ya more strong.

Let the scars tell the story
Pay your dues
Let the scars tell the story
Born to lose
Let the scars tell the story
Before I die
Let the scars tell the story
The scars never lie

The crown,
The crawl, 
The birth, then the ending all
Dying's easy, it's living that's hard
Crown, crawl, birth, end it all
Dying's easy, it's living that's hard
Crown, crawl, birth, end it all
Dying's easy, it's living that's hard

Let the scars tell the story
Pay your dues
Let the scars tell the story
Born to lose
Let the scars tell the story
They exist
Let the scars tell the story
'Cause they tell it best"
17,Blackened ,"Blackened is the end
Winter it will send
Throwing all you see
Into obscurity

Death of Mother Earth
Never a rebirth
Evolution's end
Never will it mend
Never

Fire
To begin whipping dance of the dead
Blackened is the end
To begin whipping dance of the dead
Color our world blackened

Blistering of earth
Terminate it's worth
Deadly nicotine
Kills what might have been

Callous frigid chill
Nothing left to kill
Never seen before
Breathing nevermore
Never

Fire
To begin whipping dance of the dead
Blackened is the end
To begin whipping dance of the dead
Color our world blackened

Blackened

Opposition
Contradiction
Premonition
Compromise
Agitation
Violation
Mutilation
Planet dies

Darkest color
Blistered earth
True death of life

Termination
Expiration
Cancellation 
Human race
Expectation
Liberation
Population lay to waste

See our mother
Put to death
See our mother die

Smoldering decay
Take her breath away
Millions of our years
In minutes disappears

Darkening in vain
Decadence remains
All is said and done
Never is the sun
Never

Fire
To begin whipping dance of the dead
Blackened is the end
To begin whipping dance of the dead

Fire
Is the outcome of hypocrisy
Darkest potency
In the exit of humanity
Color our world blackened

Blackened"
18,Bleeding Me ,"Yeah
I'm digging my way
I'm digging my way to something
I'm digging my way to something better

I'm pushing to stay
I'm pushing to stay with something
I'm pushing to stay with something better
Woah-oh-oh
Woah-oh

I'm sowing the seeds
I'm sowing the seeds I've taken
I'm sowing the seeds I take for granted

This thorn in my side
This thorn in my side is from the tree
This thorn in my side is from the tree I've planted

Oh, it tears me and I bleed, yeah
And I bleed, oh yeah, yeah
Hey

Caught under wheels' roll
I take the leech 
I'm bleeding me
Can't stop to save my soul
I take the leash that's leading me
I'm bleeding me, woah 
Oh, I can't take it
Caught under wheels' roll
Oh, the bleeding of me, yeah
Oh, of me, yeah
Oh, the bleeding of me

Caught under wheels' roll
I take the leech 
I'm bleeding me
Can't stop to save my soul
I take the leash that's leading me
I'm bleeding me, woah, woah-oh 
Oh, I can't take it
Caught under wheels' roll
Oh, the bleeding of me
Oh, the bleeding of me

Yeah
I am the beast that feeds the feast
I am the blood, I am release
Come make me pure
Bleed me a cure
I'm caught, I'm caught, I'm caught under

Caught under wheels' roll
I take that leech 
I'm bleeding me
Can't stop to save my soul
I take the leash that's leading me
I'm bleeding me, yeah 
Oh, I can't take it
I can't take it
I can't take it, ooh
Oh, the bleeding of me

Oh, come on, bleeding me

Mmm, yeah
I'm digging my way
I'm digging my way to something
I'm digging my way to something better

I'm pushing to stay
I'm pushing to stay with something
I'm pushing to stay with something better
With something better"
19,Blitzkrieg ,"Let us have peace, let us have life
 Let us escape the cruel night
 Let us have time, let the sun shine
 Let us beware the deadly sign

 The day is coming
 Armageddon's near
 Inferno coming
 Can we survive the blitzkrieg
 The blitzkrieg
 The blitzkrieg

 Save us from fate, save us from hate
 Save ourselves before it's too late
 Come to our need, hear our plea
 Save ourselves before the earth bleeds

 The day is dawning
 The time is near
 Aliens coming
 Can we survive the blitzkrieg
 The blitzkrieg"
