,Title,Lyrics
10,Avant Garden ,"I had a friend 
Who spoke of fate 
And he knew of another place 
In space and time 
He told of how me and my lady 
Could look 
But we could never find 

Said if u please 
I beg your pardon 
Sometimes the things u c 
They just ain't so 
Your life can be 
An avant garden 
Cause love's what makes 
Your garden grow 

The sun leads the way 
The moon lights the sky 
I c u and I 
Lying in my avant garden 
I dream of the day 
When our worlds collide 
We won't be denied 
Here inside r avant garden 

Sometimes my life 
Ain't what it seemin' 
Right from the start it's what your heart's believin' 
Could all this just be 
Lucid dreamin' 
But dreams just ain't 
Enough for me 

The sun leads the way 
The moon lights the sky 
I c u and I 
Lying in my avant garden 
I dream of the day 
When our worlds collide 
We won't be denied 
Here inside r avant garden 

You know it just ain't right 
To deal with other's shite 
No one should ever b 
So broken hearted 
Don't ever b afraid 
Cause when u got it made 
Yeah, u don't even have to try... 

So I'll be waiting in your garden 
Watching all your flowers grow 

The sun leads the way 
The moon lights the sky 
I c u and I 
Lying in my avant garden 
I dream of the day 
When our worlds collide 
You'll know we've arrived 
Here inside r avant garden 

The sun brings the rain 
The moon needs the sky 
I c u and I 
Lying in my avant garden 
Beware of the lies 
A word to the wise 
There's sweet cherry pies 
And truth inside r avant garden"
11,"Baby, Please Don't Go ","Baby please don't go 
Baby please don't go 
Baby please don't go down to New Orleans 
You know I love you so 
Before I be your dog 
Before I be your dog 
Before I be your dog 
I get you way'd out here and let you walk alone 

Turn your lamp down low 
Turn your lamp down low 
Turn your lamp down low 
I beg you all night long baby please don't go 

You brought me way down here 
You brought me way down here 
You brought me way down here 
'Bout to Rolling Forks you treat me like a dog 

Baby please don't go 
Baby please don't go 
Baby please don't go back the New Orleans 
I beg you all night long 

Before I be your dog 
Before I be your dog 
Before I be your dog 
I get you way'd out here and let you walk alone 

You know your man down gone 
You know your man down gone 
You know your man down gone 
To the country farm with all the shackles on"
12,Back Back Train ,"Well I look way down that lonesome road 
Well I look way down that lonesome road 
Way way down 
Way way down 
Way way down that lonesome road 

I know that back back train will get'cha home 
Back back train will get'cha home 
Back back train 
Back back train 
Back back train will get'cha home... yeah 

Well I thought I heard that church bell toll 
I thought I heard that church bell toll 
Told'chor lie 
Told your lie 
Told your lie somebody told me so... yeah 

Huh hu hu... 
Ho oh oh oh... 

Well I'm goin' home on mornin' train... yeah 
I'm goin' home on mornin' train 
I'm goin' home... that's right 
Goin' home... woooo 
I'm goin' home on mornin' train... woooo 

Huh hu hu... 
Ho oh oh oh... 

Well that back back train will take ya home 
Back back train will take ya home 
Take me home 
Take me home 
(Take me home... take me home) 
Take me... take... awww... take me take me... 

Huh hu hu... Ho oh oh oh... 

Take me home 

Arrr... take me home... 

Take me"
13,Back In The Saddle ,"I'm back 
I'm back in the saddle again 
I'm back 
I'm back in the saddle again 

Ridin' into town alone by the light of the moon 
I'm looking for ole' Sukie Jones 
She crazy horse saloon 
Barkeep, gimme a drink 
That's when she caught my eye 
She turned to give me a wink 
That make a grown man cry 

I'm back in the saddle again
I'm back
I'm back in the saddle again
I'm back 

Umm, come easy, go easy 
Alright 'til the rising sun 
I'm calling all the shots tonight 
I'm like a loaded gun 
Peelin' off my boots and chaps 
I'm saddle sore 
Four bits gets you time in the racks 
I scream for more 

Fool's gold out of their mines 
The girls are soaking wet 
No tongue's drier than mine 
I'll come when I get back 

I'm back in the saddle again 
I'm back 
I'm back in the saddle again 

I'm riding, I'm loading up my pistol 
I'm riding, I really got a fistful 
I'm riding, I'm shining up my saddle 
I'm riding, this snake is gonna rattle 

I'm back in the saddle again
I'm back
I'm back in the saddle again
I'm back 

Ridin' high 
Ridin' high 
Ridin' high 
Already"
14,Bacon Biscuit Blues ,"Put your biscuits in the oven 
Honey, put your buns in bed 
I wanna come inside your kitchen 
Wanna taste your shortening bread 

I want to jump into your skillet 
Honey, tickle your home fries 
I gotta hambone working fill it 
Won't you try it on for size 

Uh uh uh uh uh 
Baby ask me no questions 
I'll tell you no lies 
Put your biscuits in the oven 
Honey, watch my dumplin 

Rise up - early in the morning 
Rise up - late at night 
Rise up - gotta get me a warning 
Rise up - gonna whet your appetite 

Gonna shake and bake you honey 
I want a catcher in the rye 
I wanna sop up all your gravy 
From your deep dish apple pie 

So open up your menu 
I wanna slice your honey dew 
I love it honey when you 
Do me like you do 

Uh uh uh uh uh 
And if you ask me no questions 
And tell me no lies 
Put your biscuits in the oven 
Honey, watch my dumplin 

Rise up - early in the morning 
Rise up - late late late at night 
Rise up - giving me no warning 
Rise up - gonna wet your appetite"
15,Battlefield ,"It cannot be seen
But there`s blood on the green
Only god knows I`m innocent
Take me, take me home
A dark seed reigns in me
Like the storm rules over the sea
I challenge thee, do not cross this bridge alone

Don`t dare me now
The threatening shadows will pass by
There`re getting closer now
Open your eyes
Wake up my dear young friend
And hate shall fade away

I will not move, yet
I`ll stand still, instead

There on the battlefield he stands
Down on the battlefield he`s lost
And on the battlefield it ends

War and anger shall reign
The clash of iron can be heard
By blindness you`re driven insane
I`m lost in anguish and grief
Sorrow won`t wane `til you die
A shattered body deeply hurt
And darkness will cover the light
It`s gone forevermore

The field`s been left in sorrow
The father and the son
They`re gone

The sun shines bright
And anger rises
Lorn and lonely
Torn apart
Don`t you think
It`s time to stop now
We were charmed and fooled by the old serpent`s kiss

Let`s pray
That heaven is on our side
Through violence and horror
Shall honour arise

So let`s pray
And blessed shall be our leader
We follow the noble and bright

Don`t you hear me crying
Crying
Come take me away
I hallow thy name

There on the battlefield he stands
Down on the battlefield he`s lost
And on the battlefield it ends

War and anger shall reign
The clash of iron can be heard
By blindness you`re driven insane
I`m lost in anguish and grief
Sorrow won`t wane `til you die
A shattered body deeply"
16,Beautiful ,"A friend of mine was talkin'
I was ear jacking
Eavesdropping
Down on my knees
So I could hear what she was sayin'

As I got closer to her fire
Her desire
Was to lead me on
And on
And on
And It was like....

Beautiful
(We're free again, we're outta here)
Beautiful
(You and me, my friend, let's disappear)

Now I got to thinkin' 
'bout my high speed dirty days
What I want, 
what you need
I think you best believe it
Call it, what you will, 
But you still gotta know
We can skin it, we can sin it
Yeah so baby let's begin it
Sayin'

Beautiful
(We are free again, we're outa here)
Beautiful
(You and me, my friend, let's disappear)
Beautiful
(Do all the things we never tried)
Beautiful
(Just spread your wings and let it fly)

Whoa (whoa)
Whoa (whoa)
(Beautiful)
(Beautiful)

[Guitar solo]

Beautiful
(We are free again, we're outa here)
Beautiful
(You and me, my friend, let's disappear)
Beautiful
(Do all the things we never tried)
Beautiful
(Just spread your wings and let it fly)

Whoa (whoa)
Whoa (whoa)
(Beautiful)
Beautiful"
17,Beyond Beautiful ,"U gave up the love u got 
And that is that 
She loves me now 
She loves you not 
And that's where it's at 
Just when u thought 
Your love was deep 
It's finders keepers 
Losers weep...Yeah 

Love my love my 
Love du jour 
Sheza mine all mine 
My mind's made up 
Yeah, I'm so sure 
Cuz there's none so fine 
This ain't about 
No losin' sleep 
It's all about 
The love you keep 

Yeah, she's a beyond beautiful 
Yeah, she's never been no body's 
Fool that you be stuck with 
Yeah, it's all about me and u 
Believe it or not 
This love that we got 
Is beyond beautiful 

Full on lust to full on love without no clue 
And all I was so unsure of and then came you 
Into my life it served me right 
Nobody ever did it quite like you 

Yeah, she's a beyond beautiful 
Yeah, she's never been 
No body's fool 
That you be stuck with 
Yeah, it's all about me and u 
Believe it or not 
This love that we got 
Is beyond beautiful... 

Yeah, she's a beyond beautiful 
Yeah, she's never been no body's fool you can fuck with 
Yeah, it's all about me and u 
Believe it or not 
Yeah what we got 
Is beyond beautiful... 

Yeah, yeah 
Yeah, yeah"
18,Big Ten Inch Record ,"Got me the strangest woman 
Believe me this trick's no cinch 
But I really get her going 
When I whip out my big 10 inch 

Record of a band that plays the blues 
Well a band that plays its blues 
She just love my big 10 inch 
Record of her favorite blues 

Last night I tried to tease her 
I gave my love a little pinch 
She said now stop that jivin' 
Now whip out your big 10 inch 

Record of a band that plays those blues 
Well a band that plays the blues 
She just loves my big 10 inch 
Record of her favorite blues 

I, I, I cover her with kisses 
And when we're in a lover's clinch 
She gets all excited 
When she begs for my big 10 inch 

Record of a band that plays those blues 
Well a band that plays the blues 
She just love my big 10 inch 
Record of her favorite blues 

My girl don't go for smokin' 
And liquor just make her flinch 
Seems she don't go for nothin' 
'cept for my big 10 inch 

Record of a band that plays the blues 
Band that play the blues 
She just love my big 10 inch 
Record of her favorite blues"
19,Bitch's Brew ,"I tell ya a thing, foxy little flirt 
I caught you in the briar patch 
Liftin' up your skirt, well let me tell ya 
What you been doin' in the briar patch? 
What you been doing in the little skirt? 
Got in closer with a big feet ranch, makin magic 

Foolin' with the bitch's brew 
You know the things I told you not to do 
You fell into the briar patch 
Ain't nothin' gonna save ya 
Remember the things you said 
You savin the screams for bed 
And now you just walk away 
So take it and go all the way 

Ah, you foolin' with the bitch's brew 
That ain't the thing you oughta fool...with 
Now you keep your fingers out of there, honey 
You know that ain't no...fair 
The way that you read me 
Because of the way you did 
The way the witches sight 
Oh the things that you fight (God) 

You been messin with the bitch's brew 
Don't you know who you're talkin to? 
Said you're talkin to the bitch's brew 
Tell me you never really cared 
The voodoo men, eyes of fire 
Or who do men most desire 
The bitches are out in school 
Tell from the light of the moon 

I been thinkin' 
Ran my hands through the sands of time 
Yeah, and I been drinkin' 
Just to make this here song rhyme 

Ooooh what the hell you want me to 
I'll take it with the 
Foolin' with the bitch's brew 
Don't you 
Don't you fool with the bitch's brew 
I been foolin' with the bitch's brew 
Don't be foolin with me now 
Foolin with the bitch's brew"
