,Title,Lyrics
10,Blood Tears Little Girl ,"Little girl, where did you go?
Playing in the fields when the sun goes
Before the moon had changed at night
You had fallen out of sight

Little girl, why did you go away?
I was missing you, I knew when I strayed
Didn't mean to lie, didn't mean to cry
I just wanted to say goodbye

Little girl went to the city now
Got lost in this place up high
All the things you learned were almost real
But that denies our strength to heal

Little girl, why did you go away?
I was missing you, I knew when I strayed
Didn't mean to lie, didn't mean to cry
I just wanted to say goodbye

Walking down the street
Walking
My little girl...
Little girl gliding in the sky
came back down to say goodbye
I regret having scared you away
All my fault but nothing to say

Little girl, why did you go away?
I was missing you, I knew when I strayed
Didn't mean to lie, didn't mean to cry
I just wanted to say goodbye

Walking down the street
Walking
My little girl...

I had a girl
Little girl
She loved me more than I used to know
I loved that girl
I thought I would be with her forever"
11,Breath On A Window ,"Mending fence along the road
Barely holding together
Mapless zone the road signs holed
Keep ahead of the weather
Long past time to close dead eyes
Find a break in the highway
Out here I'm invisible
Very few going my way

Breath on a window showing tic tac toe
Rear view reflecting there ain't nobody home

Ghost town trip of misery
I ain't feeling no better
Road kill heart inside of me
Follow it to the letter
Sundown brings a welcome change
Everything that's hiding
More at home in landscapes strange
Are you selling I'm buying

Breath on a window showing tic tac toe
Rear view reflecting there ain't nobody home
Cigarette burn holes outline an old soul
Connect the dot scribbling
And you would never know

Failed to head the signal
Thought you got through just in time
Crashing hard upon your ego
Penetrated from the side


I'd let you go, but you're always in the way
I'm the damage done, your scar of yesterday

I'd let you go, but you're always in the way
I'm the damage done, your scar of yesterday"
12,Brother ,"Frozen in the place I hide
Not afraid to paint my sky with
Some who say I've lost my mind
Brother try and hope to find

You were always so far away
I know that pain so don't you run away
Like you used to do

Roses in a vase of white
Bloodied by the thorns beside the leaves
That fall because my hand is pulling them hard as I can

You were always so far away
I know that pain and I won't run away
Like I used to do

Pictures in a box at home
Yellowing and green with mold
So I can barely see your face
Wonder how that color taste

You were always so far away
I know the way so don't you run away
Like you used to do
Like you used to do"
13,Brush Away ,"I could use some
Time to curl away
My aggression
Is where you stake
Your claim
Why I question
This curve on which you grade
My conception
A joke? Or latest craze?

I try to get away
And yet I stick around
So fall and crawl away
And brush away loose ground

My intention
May I arrive at eight
Lie and dream some
Surprise you guys I'm late
All right, correction, forgetting something
Wait

I try to get away
And yet I stick around
So fall and crawl away
And brush away loose ground
And brush away loose ground
Brush away"
14,Check My Brain ,"And so I found myself in the sun, oh yeah...
A hell of a place to end the run, oh yeah...

California, I’m fine,
Somebody check my brain
California’s alright,
Somebody check my brain

Check my brain

I walked these streets a creep in a fog, oh yeah...
When she sang I answered the call, oh yeah...

California, I’m fine,
Somebody check my brain
California’s alright,
Somebody check my brain

Tears that filled my bong...
Years expended gone..

I hung my guns and put 'em away, oh yeah...
A trick of the trade and by the way, oh yeah...

California, I’m fine,
Somebody check my brain
California’s alright,
Somebody check my brain

Tears that filled my bong,
Years expended gone.
Tears that filled my bong,
Years expended gone.

Check my brain
Check my brain
Check my brain"
15,Chemical Addiction ,"I was only 15, standout on the Ave.
You're chasing a bad dream, a luxury I never had
Living my life in the box, or sleepin in the trash
Taking girls for the things I need, like booze, drugs and ass

Get stoned, daily survival in the war zone
Yeah our teens meant everything, alright
Half rack, smoking out till it's all black
Death trap, watch me going blind, oh

I don't care what you say, I
Or what you do
Chemical addiction is
Getting rid of you
So high, colors turn to sound
Goodbye, let us in and we'll lay you in the ground

Chosen on the floor, take another drag
Bought a bunch of valiums from skinny broadway bag
I don't know much about heroin but I, I wanna try
Just about everything once before I die

Get stoned, daily survival in the war zone
Yeah our teens meant everything, alright
Half rack, smoking out till it's all black
Death trap, watch me going blind, oh

I don't care what you say, I
Or what you do
Chemical addiction is
Getting rid of you
So high, colors turn t"
16,Choke ,"Before you asked for something better
You should know I'm practiced at goodbyes
Are you so deprived
Think you're doing me a favor
I don't need no lesser savior
I'm doing fine

Fragile things so close together
Taped up broken from before
Part of something or all of nothing
A very long hard way to fall

Go then, if you don't feel right
Living in our home
Choking, eat your pride
Eat your pride alone
Go then, if you don't feel right
Living in our home
Choking, eat your pride alone

Needless tension, the walls around you
Built before you came to tear them down
It was you I found
Take some time to think it over
If it's so hard to walk this road we mind
Then it's time to say goodbye

Fragile things so close together
Taped up, broken from before
Part of something or all of nothing
A very long hardway to fall

Go then, if you don't feel right
Living in our home
Choking, eat your pride
Eat your pride alone
Go then, if you don't feel right
Living in our home
Choking, eat your pride alone

(Solo)

So go then, if you don't feel right
Living in our home
Choking, eat your pride
Eat your pride alone
If you don't feel right
Living in our home
Eat your pride alone"
17,Confusion ,"There's no time to give at all 
I cause you grief and blow my hatred 
Further in your mind 
You reach, I run, you fall 
On skinned knees you crawl 


I want to set you free, recognize my disease 
Love, sex, pain, confusion, suffering 
You're there crying, I feel not a thing 
Drilling my way deeper in your head 
Sinking, draining, drowning, bleeding, dead 

So you sit and think of love 
I wait, hate all the more, I fall 
On skinned knees I crawl 

I want to set you free, recognize my disease 
Love, sex, pain, confusion, suffering 
You're there crying, I feel not a thing 
Drilling my way deeper in your head 
Sinking, draining, drowning, bleeding, dead 

Now there's time to give it all 
I put my fears behind again 
On skinned knees we'll crawl 

I want to set you free, recognize my disease 
Love, sex, pain, confusion, suffering 
You're there crying, I feel not a thing 
Drilling my way deeper in your head 
Sinking, draining, drowning, bleeding, dead
Love, sex, pain, confusion, suffering"
18,Dam That River ,"[Verse 1]
I broke you in the canyon
I drowned you in the lake
You a snake that I would trample
Only thing I'd not embrace

[Chorus]
Oh, you couldn't dam that river
And maybe I don't give a damn anyway
So you couldn't dam that river
And it washed me so far away

[Verse 2]
I pushed and then you stumbled
I kicked you in the face
You stare at me so hollow
Got to keep that killing pace

[Chorus]
Oh, you couldn't dam that river
And maybe I don't give a damn anyway
So you couldn't dam that river
And it washed me so far away

[Guitar Solo]

[Verse 3]
I burned the place around you
I hit you with a rake
You piss upon my candle
So proving you're a fake

[Chorus]
Oh, you couldn't dam that river
And maybe I don't give a damn anyway
So you couldn't dam that river
And it washed me so far away"
19,Deaf Ears Blind Eyes ,"Sinking below view
Time spent a wasting
Alone in a full room
Nobody plays in

I own everything
Whine all set on eleven
I own everything
Cries a soul on fire

Hurt does surround you
Blinded and tied on
Numbness engulfs truth
Let bygones be bygones

I own everything
Whine all set on eleven
I own everything
Cries a soul on fire

And it tears me in a way
Hangin' over
And I feel it's here to stay
Inner coldness so ingrained

Feel like a fake thing
Where did the time go?
Memories worth making
Pass by the window

I own everything
Whine all set on eleven
I own everything
Cries a soul on fire
Soul on fire"
20,Died ,"I could climb until I reach where angels reside
Ask around to find out where the junkies applied
You just up and left me on this rock all alone
It's my fault for knowing not what I should have known

Ohhhh oh oh
My heart is dried up, beating slow
Ohh ohh
Its been deflating since you died
Died
Since you died
You died

I could drop until I touch the sinister side
Visit all attractions flippin back and aside
Still you leave me rotting on this rock all alone
Its my fault for knowing not what I should have known

Ohhhh oh oh
My heart is dried up, beating slow
Ohh ohh
Its been deflating since you died
Died
Since you died
You died

Ohhh oh oh
My heart is dried up, beating slow
Uhh ohh
Its been deflating since you died
Died
Since you died
You died

I could climb until I reach where angels reside
I could drop until I touch the sinister side

Ohhhh oh
My heart is dried up, beating slow
Uhh ohh
Its been deflating since you died
Died
Since you died
You died
Died
You died
Died
You died"
21,Dirt ,"I have never felt such frustration
Or lack of self control
I want you to kill me
And dig me under, I wanna live no more

One who doesn't care is one who shouldn't be
I've tried to hide myself from what is wrong for me, 
For me

I want to taste dirty, a stinging pistol
In my mouth, on my tongue
I want you to scrape me from the walls
And go crazy like you've made me

One who doesn't care is one who shouldn't be
I've tried to hide myself from what is wrong for me, [x2]
For me

You, you are so special
You have the talent to make me feel like dirt
And you, you use your talent to dig me under
And cover me with dirt

One who doesn't care is one who shouldn't be
I've tried to hide myself from what is wrong for me, [x2]"
22,Don't Be Satisfied ,"Oh yeah

Uuuuhuuh

I was raised in a middle class family 
And I (?) in a shiny new car 
Daddy's (?) good cold fear
 That I wouldn't go far

I could be a lawyer and win a case
 Or be a doctor or make a decision
 Taking the hollow, take it today 
I wanna go rags to riches

Take it all the way 
Now that I want
 To make it on my own I see

Don't be satisfied
 Be what you wanna be 
I said Don't be satisfied
 Be what you wanna be
 Don't be satisfied
 Be what you wanna be 
I said
 Don't be satisfied
 Be what you wanna be

It feels better to make it big
 And fall a few times to feel the pain
 When I get back up on my feet again (?) my name

Take it all the way 
Now that I want 
To make it on my own I see

Don't be satisfied 
Be what you wanna be,I said 
Don't be satisfied 
Be what you wanna be
 Don't be satisfied
 Be what you wanna be, I said
 Don't be satisfied
 Be what you wanna be

Don't be satisfied 
Be what you wanna be,I said 
Don't be satisfied 
Be what you wanna be
 Don't be satisfied
 Be what you wanna be, I said
 Don't be satisfied
 Be what you wanna be

Don't be satisfied 
Be what you wanna be,I said 
Don't be satisfied 
Be what you wanna be
 Don't be satisfied
 Be what you wanna be, I said
 Don't be satisfied
 Be what you wanna be"
23,Don't Follow ,"Hey, I ain't never coming home
Hey, I'll just wander my own road
Hey, I can't meet you here tomorrow
Say goodbye don't follow
Misery so hollow

Hey you, you're livin' life full throttle
Hey you, pass me down that bottle, yeah
Hey you, you can't shake me round now
I get so lost and don't know how, yeah
And it hurts to care, I'm going down

Forgot my woman, lost my friends
Things I'd done and where I've been
Sleep in sweat the mirrors cold
See my face it's growin' old
Scared to death no reason why
Do whatever to get me by
Think about the things I said
Read the page it's cold and dead and
Take me home (5x)

Say goodbye Don't follow."
