,Title,Lyrics
10,Awake Ghost Song ,"Awake

Shake dreams from your hair
My pretty child, my sweet one.
Choose the day and choose the sign of your day
The day's divinity
First thing you see

A vast radiant beach in a cool jeweled moon
Couples naked race down by it's quiet side
And we laugh like soft, mad children
Smug in the wooly cotton brains of infancy

The music and voices are all around us

Choose they croon the Ancient Ones
The time has come again
Choose now, they croon
Beneath the moon
Beside an ancient lake
Enter again the sweet forest
Enter the hot dream, come with us
Everything is broken up and dances.

Indians scattered, 
On dawn's highway bleeding 
Ghosts crowd the young child's, 
Fragile eggshell mind 

We have assembled inside, 
This ancient and insane theater 
To propagate our lust for life, 
And flee the swarming wisdom of the streets. 

The barns have stormed 
The windows kept, 
And only one of all the rest 
To dance and save us 
From the divine mockery of words, 
Music inflames temperament. 

Oh great creator of being 
Grant us one more hour, 
To perform our art 
And perfect our lives. 

We need great golden copulations, 

When the true kings murderers 
Are allowed to roam free, 
A thousand magicians arise in the land 
Where are the feast we are promised?"
11,Away In India ,"Away, away, away,
Away in India.
Away, away, away,
Away in India.
"
12,Baby please don't go ,"Baby, please don't go. 
Baby, please don't go. 
Baby, please don't go 
Down to New Orleans 
I'm gonna love you so. 
Baby, please don't go."
13,Babylon fading ,"Then we hear a whistle like a bosun's pipe 
And the carnival immediately begins 
Gradually mixing rain, 
Thunder 
Bullfight 
Football 
Playground 
War 
Penny-arcade 
Babylon Fading..."
14,Back Door Man ,"Wha, yeah! 
C'mon, yeah 
Yeah, c'mon, yeah 
Yeah, c'mon 
Oh, yeah, ma 
Yeah, I'm a back door man 
I'm a back door man 

The men don't know 
But the little girl understand 

Hey, all you people that tryin' to sleep 
I'm out to make it with my midnight dream, yeah 
'Cause I'm a back door man 

The men don't know 
But the little girls understand 
All right, yeah 

You men eat your dinner 
Eat your pork and beans 
I eat more chicken 
Than any man ever seen, yeah, yeah 

I'm a back door man, wha 
The men don't know 
But the little girls understand 

Well, I'm a back door man 
I'm a back door man 
Whoa, baby, I'm a back door man 
The men don't know 
But the little girls understand"
15,Been down so long ,"Well 
I've been down so goddamn long 
That it looks like up to me 
Well 
I've been down so very damn long 
That it looks like up to me 
Yeah 
why don't one you people 
C'mon and set me free 

I said 
Warden 
Warden 
Warden 
Won't you break your lock and key 
I said 
Warden 
Warden 
Warden 
Won't ya break your lock and key 
Yeah 
Come along here 
Mister 
C'mon and let the poor boy be 

Baby 
Baby 
Baby 
Won't you get down on your knees 
Baby 
Baby 
Baby 
Won't you get down on your knees 
C'mon little darlin' 
C'mon and give your love to me 
Oh yeah 

Well 
I've been down so Goddamn long 
That it looks like up to me 
Well 
I've been down so very damn long 
That it looks like up to me 
Yeah 
Why don't one you people 
C'mon 
C'mon 
C'mon and set me free"
16,Bird of Prey ,"Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
In the summer sky 
Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
gently pass on by 
Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
am i going to die 
Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
take me on your flight "
17,Black polished chrome ,"The music was new 
black polished chrome 
And came over the summer 
like liquid night. 
The DJ's took pills to stay awake 
and play for seven days 
They went to the studio 
And someone knew him 
Someone knew the TV showman 
He came to our homeroom party 
and played records 
And when he left in the hot noon sun 
and walked to his car 
We saw the chooks had written 
F-U-C-K on his windshield 
He wiped it off with a rag 
and smiling coolly drove away 
He's rich. Got a big car. 

My gang will get you 
Scenes of rape in the arroyo 
Seduction in cars, abandoned buildings 
Fights at the food stand 
The dust 
the shoes 
Open shirts and raised collars 
Bright sculptured hair. 

Hey man, you want girls, pills, grass? C'mon... 
I show you good time. 
This place has everything. C'mon... 
I show you. "
18,Blue sunday ,"I found my own true love once
On a Blue Sunday 
She looked at me and told me 
I was the only
One in the world 
Now I have found my girl 

My girl awaits for me in tender time 
My girl is mine 
She is the world 
She is my girl"
19,Break On Through (To The Other Side) ,"You know the day destroys the night 
Night divides the day 
Tried to run 
Tried to hide 

Break on through to the other side 
Break on through to the other side 
Break on through to the other side, yeah 

We chased our pleasures here 
Dug our treasures there 
But can you still recall 
The time we cried 

Break on through to the other side 
Break on through to the other side 

Everybody loves my baby 
Everybody loves my baby 
She get high
She get high
She get high
She get high

I found an island in your arms 
Country in your eyes 
Arms that chain 
Eyes that lie 

Break on through to the other side 
Break on through to the other side 
Break on through, oww
Oh yeah

Made the scene 
Week to week 
Day to day 
Hour to hour 
The gate is straight 
Deep and wide 

Break on through to the other side 
Break on through to the other side 
Break on through 
Break on through 
Break on through 
Break on through 
Yeah yeah yeah yeah 
Yeah yeah yeah yeah yeah"
20,Break On Through (To The Other Side) BT vs. The Doors Remix ,
21,Build me a woman ,"Give me a witness, darling. 
I need a witness, babe. 
I got the poontang blues. I got the poontang blues. 
From the top of my head to the bottom of my cowboy shoes. 
Build me a woman, 
Make her ten feet tall. 
You got to build me a woman, 
Make her ten feet tall. 
Don't make her worthless, 
Don't make her small. 
Build me a woman, 
Make her ten feet tall. 
You got to build me a woman, 
Make her ten feet tall. 
Don't make her worthless, 
Don't make her small. 
Build me someone I can ball 
All night long."
22,Carol ,"Oh, Carol!
Don't let him steal your heart away.
Yeah I've got to love you darling
If it takes me all night and day.

Beat cool down,
Motor cool down,
I can hear that highway sound.

Carol!
Don't let him steal your heart away.
Well I'm gonna love you darling
If it takes me all night and day.

Whoa, Carol!

Oh, Carol!
Don't let him steal your heart away.
Yeah I'm gonna love you darling
If it takes me all night and day.

One more time!

Whoa, Carol!
Come on, Carol!
Oh yeah!
Oh right!
Well I'm gonna love you darling
If it takes me all night and day."
23,Cars Hiss By My Window ,"The cars hiss by my window
Like the waves down on the beach
The cars hiss by my window
Like the waves down on the beach
I got this girl beside me
But she's out of reach
Headlight through my window
Shinin' on the wall
Headlight through my window
Shinin' on the wall
Can't hear my baby
Though I called and called
Yeah, right
Woo!
Windows started tremblin'
With a sonic boom
Windows started tremblin'
With a sonic boom, boom
A cold girl'll kill you
In a darkened room
Yeah, woo
Ride
Ride on
Weooooo!
Wawa, eooo!
Oooo, owa, owaaa!
Wa, waaaaea!
Ooo, wa, wa, wa, wa, waa!
Uh-huh"
24,Close To You ,"I want to get
Close to you, baby
Like black on white.
Close to you, baby
Like cold is to ice.
Close to you, baby
Like a siamese twin.
Close to you, baby
Like I'm feeling all right.

I want to get
Close to you, baby.
Well close to you, baby.
Close to you, baby
Till you don't know
What to say or do.

I want to get
Close to you, baby
Like the side of your eye.
Close to you, baby
Like heat is to fire.
Close to you, baby
Close as I can get.
Close to you, baby
Like water's wet.

I want to get
Close to you, baby.
I said close to you, baby.
Close to you, baby
Till you don't know
What to say or do.

I want to get
Close to you, baby
Till I'm feeling all right.
Close to you, baby
Gonna love you all night.
Close to you, baby
In New York City.
I love you so much, woman
You know it's a pity.

I want to get
Close to you, baby.
I said close to you, baby.
I want to get
Close to you, baby
Till you don't know
What to say or do.

I'm gonna get
Closer and closer, babe.
Closer and closer, babe.
Closer and closer, babe.
Closer and closer, babe.
I want to get
Close to you, baby
Till you don't know
What to say or do.

Well closer and closer, baby.
Closer and closer, baby.
Closer and closer, baby.
Closer and closer, baby.

I want to get
Close to you, baby
Till you don't know
What to say or do.
"
25,Crawling King Snake ,"Well, I'm the Crawlin' King Snake
And I rule my den
I'm the Crawlin' King Snake
And I rule my den
Yeah, don't mess 'round with my mate
Gonna use her for myself
Caught me crawlin', baby, window
Grass is very high
Keep on crawlin' till the day I die
Crawlin' King Snake
And I rule my den
You better give me what I want
Gonna crawl no more
Caught me crawlin', baby
Crawlin' 'round your door
Seein' everything I want
I'm gonna crawl on your floor
Let's crawl
And I rule my den
C'mon, give me what I want
Ain't gonna crawl no more
Alright, crawl a while
C'mon crawl
C'mon crawl
Get on out there on your hands and knees, baby
Crawl all over me
Just like the spider on the wall
Ooo, we gonn' crawl, one more
Well, I'm the Crawlin' King Snake
And I rule my den
Call me the Crawlin' King Snake
And I rule my den
Yeah, don't mess 'round with my mate
Gonna use her for myself"
26,Crossroads ,"Woke up this morning
Got the crossroads on my mind.
Well I woke up this morning
Got the crossroads on my mind.
Take a walk with me
And everything will work out fine.

Well I woke up this morning
Got the judgement on my mind.
Well I woke up this morning
Got the judgement on my mind.
Take a walk with me
And everything will work out fine.

Well I woke up this morning
Got the H-bomb on my mind.
Well I woke up this morning
Got the H-bomb on my mind.
Take a walk with me
And everything will work out fine.

Woke up this morning
Got the crossroads on my mind.
Well I woke up this morning
Got the crossroads on my mind.
Take a walk with me
And everything will work out fine.

Woke up this morning
Got nothing on my mind.
Well I woke up this morning
Nothing on my mind.
Take a walk with me
And everything will work out fine.
"
27,"Curses, Invocation ","Curses, Invocations
Weird bate-headed mongrels
I keep expecting one of you to rise
Large buxom obese queen
Garden hogs and cunt veterans
Quaint cabbage saints
Shit hoarders and individualists
Drag strip officials
Tight lipped losers and
Lustful fuck salesman
My militant dandies
All strange orders of monsters
Hot on the tail of the woodvine
We welcome you to our procession
Here come the Comedians
look at them smile
Watch them dance an Indian mile
Look at them gesture
How aplomb
So to gesture everyone
Words dissemble
Words be quick
Words resemble walking sticks
Plant them they will grow
Watch them waver so
I'll always be a word man
Better then a bird man"
28,Dawn's Highway ,"Indians scattered on dawn's highway bleeding
Ghosts crowd the young child's fragile eggshell mind.
Me and my -ah- mother and father - and a
grandmother and a grandfather - were driving through
the desert, at dawn, and a truck load of Indian
workers had either hit another car, or just - I don't
know what happened - but there were Indians scattered
all over the highway, bleeding to death.
So the car pulls up and stops. That was the first time
I tasted fear. I musta' been about four - like a child is
like a flower, his head is just floating in the
breeze, man.
The reaction I get now thinking about it, looking
back - is that the souls of the ghosts of those dead
Indians...maybe one or two of 'em...were just
running around freaking out, and just leaped into my
soul. And they're still in there.
Indians scattered on dawn's highway bleeding
Ghosts crowd the young child's fragile eggshell mind.
Blood in the streets in the town of New Haven
Blood stains the roofs and the palm trees of Venice
Blood in my love in the terrible summer
Bloody red sun of Phantastic L.A.
Blood screams her brain as they chop off her fingers
Blood will be born in the birth if a nation
Blood is the rose of mysterious union
Blood on the rise, it's following me.
Indian, Indian what did you die for?
Indian says, nothing at all."
29,"Dead Cats, Dead Rats ","Dead cats, dead rats, did you see what they were at, alright
Dead cat in a top hat
Sucking on a young man's blood
Wishing he could come, yeah
Sucking on the soldier's brain
Wishing it would be the same
Dead cat, dead rat, did you see what they were at
Fat cat in a top hat
Thinks he's an aristocrat Thinks he can kill and slaughter
Thinks he can shoot my daughter
Dead cats, dead rats, think you're an aristocrat
Crap...ha, that's crap"
30,Do it ,"Yuppa tuppa ta ta, 
Yuppa tuppa chic ta 
Do thang, do thang, Do tuppa thang cho 
Rikki te tatar, Te teen tar 
De dow dow, Ha, ha, ha, ha, Ha, ha, ha, ha 
Yeah, Yeah please me, yeah 
Easy, babe, Please me 
Please, please listen to me children X3 
Said please, please listen to me children 
You are the ones who will rule the world 
Listen to me children X2 
Please, please listen to me children X2 
You are the ones who will rule the world, ha 
You gotta please me, All night 
Please, please listen to me children 
Said please, please listen to me children 
Please, yeah, please me, I'm askin' you 
Please, please listen to me children X3 
Please, my children 
Please, children, Please, children"
31,Don't go no farther ,"You need meat--go to the market. 
You need bread--try the bakery. 
You need loving--look here, baby. 
I got just what you need. 
Chorus: I got to love somebody 
I got to love somebody, 
I got to love somebody, 
Somebody don't love me. 
You need money--go to the bank, dear. 
You need honey--look to the bee. 
You need loving--come on here, woman. 
Well, I got just what you need. 
Chorus 
Oh, play it now! 
You need meat--go to the market. 
You need bread--try the bakery. 
And you need loving--come on here, baby. 
Well, I got just what you need. 
I want to love somebody, 
Yeah, love somebody, 
I got to love somebody, 
Somebody got to love me. 
Play your guitar! 
You need money--go to the bank, dear. 
If you need honey--go find a bee. 
If need loving--well, I'm your doctor. 
I've got people sick on what you need. 
Chorus"
32,Down On The Farm ,"Don't need none today
Master's gone away
his mind has gone astray
'cause we don't need none today
Did you hear what I say?
Don't need none today
Gonna run a rainbow ragged
ask the mountain men, they've had it
City life's a real bad habit
all the boys are down on the farm
Gonna run a rainbow ragged
ask the mountain men, they've had it
City life's a real bad habit
c'mon along it won't do you no harm
We're goin' down on the farm
Gonna run a rainbow
gonna run a rainbow
gonna run a rainbow
gonna run a rainbow
gonna run a rainbow ragged
Ask the mountain men, they've had it
City life's a real bad habit
all the boys are down on the farm"
33,Easy ride ,"And I know 
It will be 
An easy ride 
All right 
And I know 
It will be 
Easy ride 
OK 

The mask that you wore 
My fingers would explore 
Costume of control 
Excitement soon unfolds 

And I know 
It will be 
Easy ride 
Yeah 
Joy 
For vaguely 
Which' your pride 
Which' your pride 
Yeah 

Black polished stone 
Black polished stone 
I see your eyes 
Like burnin' glass 
Like burnin' glass 
Hear you smile 
Smile 
Babe 

The mask that you wore 
My fingers would explore 
Costume of control 
Excitement soon unfolds 
Hey 

Easy 
Baby 

Call the queen 
Now 
Be my bride 
Ragin' darkness 
By my side 
Seize the summer 
In your pride 
Take the winter 
In your stride 

Let's ride 
Yeah 
Easy 
Easy 
Easy 
Easy 
Easy 
Ease 
Easy 
Yeah 
Yeah 
Ride 
Dum 
Dum 
Dum 
Dum 
Dum 
Dum 
Dum 
Ride"
34,End Of The Night ,"Take the highway to the end of the night 
End of the night, end of the night 
Take a journey to the bright midnight 
End of the night, end of the night 

Realms of bliss, realms of light 
Some are born to sweet delight 
Some are born to sweet delight 
Some are born to the endless night 
End of the night, end of the night 
End of the night, end of the night 

Realms of bliss, realms of light 
Some are born to sweet delight 
Some are born to sweet delight 
Some are born to the endless night 
End of the night, end of the night 
End of the night, end of the night"
35,Ensenada ,"Ensenada, the dead seal.
The dog crucifix.
Ghost of the dead car's son."
36,Fever ,"Everybody's got the fever.
That is something we all know.
Fever isn't such a new thing.
Fever started a long time ago.

Summertime,
The livin' is easy.
Fish are jumpin'.
The cotton is high.
Your daddy's rich.
Your momma's good lookin'.
Hush little baby
Don't you cry.

I went down to St. James Infirmary.
I saw my baby there.
Stretched out on a marble table.
So cold.
So white.
So pale. 

Everybody's got the fever.
Everybody's got the fever.
Everybody's got the fever.
Everybody's got the fever.

When you kiss me, baby.
When you hold me tight.
Got the fever
All through the night.

Fever.

Give me some fever, baby.
I got the fever, yeah.
You got the fever, yeah.

In the summertime.
All through the night.
When you kiss,
When you hold me tight.

Got the fever.
Got the fever.

Everybody loves the fever, yeah."
37,Five to one ,"Yeah, c'mon 
Love my girl 
She lookin' good 
C'mon 
One more 

Five to one, baby 
One in five 
No one here gets out alive, now 
You get yours, baby 
Il'l get mine 
Gonna make it, baby 
If we try 

The old get old 
And the young get stronger 
May take a week 
And it may take longer 
They got the guns 
But we got the numbers 
Gonna win, yeah 
We're takin' over 
Come on! 

Yeah! 

Your ballroom days are over, baby 
Night is drawing near 
Shadows of the evening crawl across the years 
Ya walk across the floor with a flower in your hand 
Trying to tell me no one understands 
Trade in your hours for a handful dimes 
Gonna' make it, baby, in our prime 

Come together one more time 
Get together one more time 
Get together one more time 
Get together, aha 
Get together one more time! 
Get together one more time! 
Get together one more time 
Get together one more time 
Get together, gotta, get together 

Ohhhhhhhh! 

Hey, c'mon, honey 
You won't have along wait for me, baby 
I'll be there in just a little while 
You see, I gotta go out in this car with these people and... 

Get together one more time 
Get together one more time 
Get together, got to 
Get together, got to 
Get together, got to 
Take you up in my room and... 
Hah-hah-hah-hah-hah 
Love my girl 
She lookin' good, lookin' real good 
Love ya, c'mon"
38,Four Billion Souls ,"One, two, three, four billion souls are gonna rest
If all our friends don't try their best
To change the way this world is headed for
We can find our happiness, it ain't so hard to find
But look a little further up the line
Just a little further up in time
Don't you see that we could be the first in history
Leavin' all that we don't need behind
We could clean it up and make it shine."
